,X,Y,PRIMARYDISTRICTCD,COMMON_NAME,TREEHEIGHT,DIAM,GENUS,HERITAGE,EXCEPTIONAL
2930,-122.306343152887,47.7114078272468,DISTRICT5,(Pacific) Madrona,0.0,17,Arbutus,N,N
2931,-122.391752316972,47.642420813621,DISTRICT7,Wild Weeping (Higan) Cherry,0.0,5,Prunus,N,N
2932,-122.304251974284,47.636427830378,DISTRICT3,Purpleleaf Plum variety,0.0,8,Prunus,N,N
2933,-122.353399999924,47.6400289991752,DISTRICT7,Western Red Cedar,,35,Thuja,N,N
2934,-122.357375317617,47.6752412103504,DISTRICT6,Japanese Snowbell Tree,0.0,4,Styrax,N,N
2935,-122.362513551063,47.6777805116741,DISTRICT6,Paperbark Maple,0.0,5,Acer,N,N
2936,-122.379047194966,47.5527121571742,DISTRICT1,Thundercloud Purpleleaf Plum,0.0,2,Prunus,N,N
2937,-122.339837199801,47.6240539263837,DISTRICT7,Scarlet Oak,0.0,11,Quercus,N,N
2938,-122.368717047449,47.5436856166836,DISTRICT1,White Ash,0.0,5,Fraxinus,N,N
2939,-122.320979377978,47.6195448163582,DISTRICT3,Flame Narrowleaf Ash,0.0,12,Fraxinus,N,N
2940,-122.336365513525,47.5213044653328,DISTRICT1,Green (Red) Ash,0.0,15,Fraxinus,N,N
2941,-122.343140151743,47.6628029275808,DISTRICT4,Purpleleaf Plum variety,0.0,10,Prunus,N,N
2942,-122.270623750912,47.5476920979842,DISTRICT2,Western Red Cedar,0.0,15,Thuja,N,N
2943,-122.309280380046,47.7103956948011,DISTRICT5,Dogwood,0.0,3,Cornus,N,N
2944,-122.278020800248,47.5408177728428,DISTRICT2,AVAILABLE PLANTING SPACE,0.0,2,Planting,N,N
2945,-122.401807671713,47.6377961962251,DISTRICT7,Laceleaf Maple,0.0,3,Acer,N,N
2946,-122.304122821799,47.6902318022277,DISTRICT5,(Pacific) Madrona,0.0,18,Arbutus,N,N
2947,-122.317430852506,47.6848450011265,DISTRICT4,Crimean Linden,0.0,16,Tilia,N,N
2948,-122.346305968351,47.6145575115748,DISTRICT7,(California) Incense Cedar,0.0,12,Calocedrus,N,N
2949,-122.382416797387,47.5868170548959,DISTRICT1,Thundercloud Purpleleaf Plum,0.0,12,Prunus,N,N
2950,-122.278824993513,47.6739812376624,DISTRICT4,English Midland Hawthorn,0.0,7,Crataegus,N,N
